,power,current,time
821,0.502,118.0,4163
822,0.61,118.0,4168
823,0.61,118.0,4172
824,0.61,118.0,4177
825,0.61,118.0,4182
826,0.61,118.0,4187
827,0.61,118.0,4192
828,0.61,118.0,4197
829,0.61,118.0,4203
830,0.61,118.0,4208
831,0.61,118.0,4213
832,0.61,118.0,4218
833,0.61,118.0,4223
834,0.61,105.9,4228
835,0.55,105.9,4233
836,0.55,105.9,4238
837,0.55,105.9,4243
838,0.55,105.9,4249
839,0.55,105.9,4254
840,0.55,105.9,4259
841,0.55,105.9,4264
842,0.55,105.9,4269
843,0.55,105.9,4274
844,0.55,105.9,4279
845,0.55,105.9,4284
846,0.55,105.9,4290
847,0.55,107.3,4295
848,0.558,107.3,4300
849,0.558,107.3,4305
850,0.558,107.3,4310
851,0.558,107.3,4315
852,0.558,107.3,4320
853,0.558,107.3,4325
854,0.558,107.3,4331
855,0.558,107.3,4336
856,0.558,107.3,4341
857,0.558,107.3,4346
858,0.558,107.3,4351
859,0.558,107.3,4356
860,0.558,109.4,4361
861,0.566,109.4,4366
862,0.566,109.4,4371
863,0.566,109.4,4377
864,0.566,109.4,4382
865,0.566,109.4,4387
866,0.566,109.4,4392
867,0.566,109.4,4397
868,0.566,109.4,4402
869,0.566,109.4,4407
870,0.566,109.4,4412
871,0.566,109.4,4418
872,0.566,109.4,4423
873,0.586,113.1,4428
874,0.586,113.1,4433
875,0.586,113.1,4438
876,0.586,113.1,4443
877,0.586,113.1,4448
878,0.586,113.1,4453
879,0.586,113.1,4459
880,0.586,113.1,4464
881,0.586,113.1,4469
882,0.586,113.1,4474
883,0.586,113.1,4479
884,0.586,113.1,4484
885,0.586,113.1,4489
886,0.636,122.80001000000001,4494
887,0.636,122.80001000000001,4499
888,0.636,122.80001000000001,4505
889,0.636,122.80001000000001,4510
890,0.636,122.80001000000001,4515
891,0.636,122.80001000000001,4520
892,0.636,122.80001000000001,4525
893,0.636,122.80001000000001,4530
894,0.636,122.80001000000001,4535
895,0.636,122.80001000000001,4540
896,0.636,122.80001000000001,4546
897,0.636,122.80001000000001,4551
898,0.636,122.80001000000001,4556
899,0.62,119.4,4561
900,0.62,119.4,4566
901,0.62,119.4,4571
902,0.62,119.4,4576
903,0.62,119.4,4581
904,0.62,119.4,4587
905,0.62,119.4,4592
906,0.62,119.4,4597
907,0.62,119.4,4602
908,0.62,119.4,4607
909,0.62,119.4,4612
910,0.62,119.4,4617
911,0.62,119.4,4622
912,0.626,121.0,4627
913,0.626,121.0,4633
914,0.626,121.0,4638
915,0.626,121.0,4643
916,0.626,121.0,4648
917,0.626,121.0,4653
918,0.626,121.0,4658
919,0.626,121.0,4663
920,0.626,121.0,4668
921,0.626,121.0,4674
922,0.626,121.0,4679
923,0.626,121.0,4684
924,0.626,121.0,4689
925,0.626,121.0,4694
926,0.626,121.0,4699
927,0.626,121.0,4704
928,0.626,121.0,4709
929,0.626,121.0,4715
930,0.626,121.0,4720
931,0.626,121.0,4725
932,0.626,121.0,4730
933,0.626,121.0,4735
934,0.626,121.0,4740
935,0.626,121.0,4745
936,0.626,121.0,4750
937,0.626,121.0,4755
938,0.63,121.4,4761
939,0.63,121.4,4766
940,0.63,121.4,4770
941,0.63,121.4,4775
942,0.63,121.4,4780
943,0.63,121.4,4785
944,0.63,121.4,4790
945,0.63,121.4,4795
946,0.63,121.4,4801
947,0.63,121.4,4806
948,0.63,121.4,4811
949,0.63,121.4,4816
950,0.63,120.8,4821
951,0.626,120.8,4826
952,0.626,120.8,4831
953,0.626,120.8,4836
954,0.626,120.8,4842
955,0.626,120.8,4847
956,0.626,120.8,4852
957,0.626,120.8,4857
958,0.626,120.8,4862
959,0.626,120.8,4867
960,0.626,120.8,4872
961,0.626,120.8,4877
962,0.626,120.8,4882
963,0.626,120.7,4888
964,0.626,120.7,4893
965,0.626,120.7,4898
966,0.626,120.7,4903
967,0.626,120.7,4908
968,0.626,120.7,4913
969,0.626,120.7,4918
970,0.626,120.7,4923
971,0.626,120.7,4929
972,0.626,120.7,4934
973,0.626,120.7,4939
974,0.626,120.7,4944
975,0.626,120.7,4949
976,0.626,116.5,4954
977,0.602,116.5,4959
978,0.602,116.5,4964
979,0.602,116.5,4970
980,0.602,116.5,4975
981,0.602,116.5,4980
982,0.602,116.5,4985
983,0.602,116.5,4990
984,0.602,116.5,4995
985,0.602,116.5,5000
986,0.602,116.5,5005
987,0.602,116.5,5010
988,0.602,116.5,5016
989,0.602,111.0,5021
990,0.574,111.0,5026
991,0.574,111.0,5031
992,0.574,111.0,5036
993,0.574,111.0,5041
994,0.574,111.0,5046
995,0.574,111.0,5051
996,0.574,111.0,5057
997,0.574,111.0,5062
998,0.574,111.0,5067
999,0.574,111.0,5072
1000,0.574,111.0,5077
1001,0.574,111.0,5082
1002,0.574,110.2,5087
1003,0.57,110.2,5092
1004,0.57,110.2,5098
1005,0.57,110.2,5103
1006,0.57,110.2,5108
1007,0.57,110.2,5113
1008,0.57,110.2,5118
1009,0.57,110.2,5123
1010,0.57,110.2,5128
1011,0.57,110.2,5133
1012,0.57,110.2,5138
1013,0.57,110.2,5144
1014,0.57,110.2,5149
1015,0.57,111.3,5154
1016,0.576,111.3,5158
1017,0.576,111.3,5163
1018,0.576,111.3,5168
1019,0.576,111.3,5173
1020,0.576,111.3,5178
1021,0.576,111.3,5184
1022,0.576,111.3,5189
1023,0.576,111.3,5194
1024,0.576,111.3,5199
1025,0.576,111.3,5204
1026,0.576,111.3,5209
1027,0.576,111.3,5214
1028,0.576,109.3,5219
1029,0.566,109.3,5224
1030,0.566,109.3,5230
1031,0.566,109.3,5235
1032,0.566,109.3,5240
1033,0.566,109.3,5245
1034,0.566,109.3,5250
1035,0.566,109.3,5255
1036,0.566,109.3,5260
1037,0.566,109.3,5265
1038,0.566,109.3,5271
1039,0.566,109.3,5276
1040,0.566,109.3,5281
1041,0.652,126.0,5286
1042,0.652,126.0,5291
1043,0.652,126.0,5296
1044,0.652,126.0,5301
1045,0.652,126.0,5306
1046,0.652,126.0,5312
1047,0.652,126.0,5317
1048,0.652,126.0,5322
1049,0.652,126.0,5327
1050,0.652,126.0,5332
1051,0.652,126.0,5337
1052,0.652,126.0,5342
1053,0.652,126.0,5347
1054,0.636,122.80001000000001,5352
1055,0.636,122.80001000000001,5358
1056,0.636,122.80001000000001,5363
1057,0.636,122.80001000000001,5368
